
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	    2138112	0.010000
2	    2138112	0.010000
3	    2138112	0.010000
4	    2138112	0.010000
5	    2138112	0.020000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	    4276224	0.050000
2	    4276224	0.070000
3	    4276224	0.060000
4	    4276224	0.060000
5	    4276224	0.050000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    6414336	0.130000
2	    6414336	0.130000
3	    6414336	0.140000
4	    6414336	0.130000
5	    6414336	0.130000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    8552448	0.260000
2	    8552448	0.260000
3	    8552448	0.260000
4	    8552448	0.280000
5	    8552448	0.280000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	   10690560	0.510000
2	   10690560	0.530000
3	   10690560	0.650000
4	   10690560	0.520000
5	   10690560	0.570000
