
# No. epochs 100000 
# Run	Heap memory	 Time (CPU seconds)
1	    4055040	0.000000
2	    4055040	0.000000
3	    4055040	0.000000
4	    4055040	0.000000
5	    4055040	0.000000

# No. epochs 200000 
# Run	Heap memory	 Time (CPU seconds)
1	    8110080	0.010000
2	    8110080	0.010000
3	    8110080	0.010000
4	    8110080	0.020000
5	    8110080	0.010000

# No. epochs 300000 
# Run	Heap memory	 Time (CPU seconds)
1	   12029952	0.030000
2	   12029952	0.030000
3	   12029952	0.020000
4	   12029952	0.020000
5	   12029952	0.020000

# No. epochs 400000 
# Run	Heap memory	 Time (CPU seconds)
1	   16084992	0.040000
2	   16084992	0.030000
3	   16084992	0.030000
4	   16084992	0.030000
5	   16084992	0.030000

# No. epochs 500000 
# Run	Heap memory	 Time (CPU seconds)
1	   20004864	0.040000
2	   20004864	0.030000
3	   20004864	0.030000
4	   20004864	0.030000
5	   20004864	0.030000
