
# No. epochs 100000 
# Run	Heap memory	 Time (CPU seconds)
1	    4022272	0.500000
2	    4022272	0.500000
3	    4022272	0.530000
4	    4022272	0.530000
5	    4022272	0.500000

# No. epochs 200000 
# Run	Heap memory	 Time (CPU seconds)
1	    8036352	3.520000
2	    8036352	3.400000
3	    8036352	3.590000
4	    8036352	3.300000
5	    8036352	3.890000

# No. epochs 300000 
# Run	Heap memory	 Time (CPU seconds)
1	   12050432	9.890000
2	   12050432	10.250000
3	   12050432	9.660000
4	   12050432	9.780000
5	   12050432	10.030000

# No. epochs 400000 
# Run	Heap memory	 Time (CPU seconds)
1	   16064512	20.500000
2	   16064512	20.090000
3	   16064512	20.400000
4	   16064512	20.070000
5	   16064512	21.240000

# No. epochs 500000 
# Run	Heap memory	 Time (CPU seconds)
1	   20078592	36.030000
2	   20078592	34.890000
3	   20078592	36.160000
4	   20078592	34.840000
5	   20078592	35.010000
