
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	     409600	0.000000
2	     409600	0.000000
3	     409600	0.000000
4	     409600	0.000000
5	     409600	0.000000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	     811008	0.010000
2	     811008	0.010000
3	     811008	0.010000
4	     811008	0.010000
5	     811008	0.010000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    1212416	0.030000
2	    1212416	0.040000
3	    1212416	0.030000
4	    1212416	0.030000
5	    1212416	0.030000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    1613824	0.060000
2	    1613824	0.060000
3	    1613824	0.050000
4	    1613824	0.060000
5	    1613824	0.070000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	    2015232	0.100000
2	    2015232	0.090000
3	    2015232	0.090000
4	    2015232	0.100000
5	    2015232	0.090000
