
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	    2162688	0.000000
2	    2162688	0.000000
3	    2162688	0.000000
4	    2162688	0.000000
5	    2162688	0.000000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	    4325376	0.010000
2	    4325376	0.000000
3	    4325376	0.000000
4	    4325376	0.000000
5	    4325376	0.000000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	     135168	0.000000
2	     135168	0.010000
3	     135168	0.010000
4	     135168	0.000000
5	     135168	0.010000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	     135168	0.010000
2	     135168	0.010000
3	     135168	0.000000
4	     135168	0.000000
5	     135168	0.000000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	     135168	0.010000
2	     135168	0.010000
3	     135168	0.010000
4	     135168	0.010000
5	     135168	0.010000
