
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	    1220608	0.050000
2	    1220608	0.040000
3	    1220608	0.050000
4	    1220608	0.050000
5	    1220608	0.040000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	    2375680	0.190000
2	    2375680	0.190000
3	    2375680	0.210000
4	    2375680	0.210000
5	    2375680	0.180000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    3555328	0.560000
2	    3555328	0.550000
3	    3555328	0.570000
4	    3555328	0.560000
5	    3555328	0.580000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    4775936	1.180000
2	    4775936	1.170000
3	    4775936	1.200000
4	    4775936	1.170000
5	    4775936	1.200000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	    5971968	2.080000
2	    5971968	1.990000
3	    5971968	2.060000
4	    5971968	1.970000
5	    5971968	2.140000
